Borough_code,Borough_name,Age_code,Age_desc,Value
E09000006,Bromley,61,Aged 61 years,3805
E09000006,Bromley,62,Aged 62 years,3548
E09000006,Bromley,63,Aged 63 years,3438
E09000006,Bromley,64,Aged 64 years,3278
E09000006,Bromley,65,Aged 65 years,3108
E09000006,Bromley,66,Aged 66 years,2929
E09000006,Bromley,67,Aged 67 years,2823
E09000006,Bromley,68,Aged 68 years,2821
E09000006,Bromley,69,Aged 69 years,2802
E09000006,Bromley,70,Aged 70 years,2867
E09000006,Bromley,71,Aged 71 years,2857
E09000006,Bromley,72,Aged 72 years,3025
E09000006,Bromley,73,Aged 73 years,3280
E09000006,Bromley,74,Aged 74 years,3341
E09000006,Bromley,75,Aged 75 years,2453
E09000006,Bromley,76,Aged 76 years,2515
E09000006,Bromley,77,Aged 77 years,2220
E09000006,Bromley,78,Aged 78 years,2166
E09000006,Bromley,79,Aged 79 years,1879
E09000006,Bromley,80,Aged 80 years,1645
E09000006,Bromley,81,Aged 81 years,1759
E09000006,Bromley,82,Aged 82 years,1686
E09000006,Bromley,83,Aged 83 years,1595
E09000006,Bromley,84,Aged 84 years,1455
E09000006,Bromley,85,Aged 85 years,1338
E09000006,Bromley,86,Aged 86 years,1215
E09000006,Bromley,87,Aged 87 years,1088
E09000006,Bromley,88,Aged 88 years,1063
E09000006,Bromley,89,Aged 89 years,915
E09000006,Bromley,90,Aged 90 years,766
E09000006,Bromley,91,Aged 91 years,679
